isBought,gender,education,house_val,MinAge,MaxAge,online,customer_psy,marriage,child,occupation,mortgage,house_owner,region,car_prob,fam_income
Yes,Male,Graduated,756460,1,100,No,B,Single,No,Professional,Low,Renter,Midwest,1,12
No,Female,Bachelor,213171,66,100,No,E,Single,No,Professional,Low,Owner,Northeast,3,7
No,Male,Some College,111147,1,25,Yes,C,Single,Yes,Professional,Low,Owner,Midwest,1,10
Yes,Male,Some College,354151,1,25,Yes,B,Single,No,Sales/Service,Low,Renter,West,2,12
Yes,Female,Some College,117087,1,100,Yes,J,Married,Yes,Sales/Service,Low,Renter,South,7,8
Yes,Female,Bachelor,248694,56,65,Yes,B,Married,No,Professional,Medium,Owner,West,1,7
Yes,Male,Bachelor,2000000,1,100,Yes,A,Married,No,Professional,Low,Renter,Northeast,5,3
No,Female,Bachelor,416925,46,55,Yes,C,Married,Yes,Professional,Low,Owner,South,2,9
No,Female,High school,207676,36,45,Yes,G,Single,Yes,Blue Collar,Low,Renter,West,5,4
Yes,Male,High school,241380,1,100,Yes,C,Married,No,Sales/Service,Low,Renter,Northeast,6,7
No,Male,Some College,158268,66,100,Yes,C,Single,Yes,Sales/Service,Medium,Owner,Midwest,3,5
Yes,Female,Bachelor,245686,36,45,No,F,Married,No,Blue Collar,Low,Owner,South,3,5
Yes,Female,Some College,360587,46,55,Yes,C,Married,Yes,Professional,High,Owner,Midwest,1,10
No,Male,Near high school,0,1,25,Yes,I,Single,No,Others,Low,Renter,West,6,3
Yes,Female,Bachelor,380431,56,65,Yes,B,Single,No,Professional,Low,Owner,South,2,1
Yes,Male,Near high school,162884,1,100,Yes,G,Married,Yes,Professional,Low,Renter,South,7,3
No,Female,High school,0,66,100,No,I,Married,No,Retired,Low,Owner,South,5,5
Yes,Female,Some College,239560,46,55,Yes,C,Married,Yes,Sales/Service,Medium,Owner,Midwest,3,6
No,Male,Near high school,60822,1,100,No,G,Single,Yes,Blue Collar,Low,Renter,Midwest,9,3
No,Male,High school,90426,36,45,Yes,I,Single,No,Blue Collar,Low,Owner,South,6,5
Yes,Female,Graduated,408750,26,35,Yes,F,Single,Yes,Sales/Service,High,Owner,West,3,6
Yes,Male,Bachelor,0,36,45,No,G,Married,No,Professional,Low,Renter,West,8,6
No,Female,Some College,136729,36,45,Yes,C,Married,Yes,Blue Collar,Low,Owner,Midwest,4,7
No,Female,Near high school,452622,26,35,No,F,Single,No,Professional,Low,Renter,South,1,4
No,Male,Near high school,128402,1,100,No,G,Single,No,Sales/Service,Low,Renter,Northeast,8,1
Yes,Male,Bachelor,308817,26,35,Yes,C,Married,Yes,Sales/Service,Low,Renter,South,2,6
Yes,Male,Graduated,206271,26,35,Yes,C,Married,Yes,Professional,Medium,Owner,West,4,6
No,Male,High school,0,1,100,No,F,Married,No,Blue Collar,Low,Renter,Northeast,5,4
Yes,Male,Some College,169113,56,65,Yes,B,Married,No,Professional,Low,Owner,Midwest,3,6
No,Female,Some College,189878,1,25,Yes,E,Single,Yes,Sales/Service,Medium,Owner,South,4,5
Yes,Female,Some College,94503,46,55,Yes,F,Single,Yes,Blue Collar,Low,Owner,Midwest,3,4
Yes,Male,High school,1076582,46,55,Yes,B,Married,Yes,Professional,High,Owner,West,1,6
Yes,Male,Some College,325081,46,55,Yes,C,Married,Yes,Sales/Service,Low,Owner,Midwest,2,10
Yes,Female,Graduated,0,26,35,Yes,B,Single,No,Professional,Low,Renter,Northeast,2,5
Yes,Male,Some College,1151448,26,35,No,B,Single,No,Professional,Medium,Owner,South,1,6
No,Male,Graduated,0,46,55,Yes,G,Single,Yes,Professional,Low,Owner,Northeast,5,4
No,Male,Near high school,308705,1,100,No,C,Single,Yes,Sales/Service,Low,Renter,West,1,8
Yes,Female,Bachelor,1500000,66,100,Yes,B,Married,No,Retired,High,Owner,South,1,12
No,Female,High school,46662,26,35,No,F,Married,No,Sales/Service,Low,Renter,Midwest,3,4
Yes,Male,High school,0,36,45,No,C,Married,Yes,Sales/Service,Low,Renter,South,3,1
No,Female,Some College,60887,1,25,No,G,Single,Yes,Sales/Service,Low,Renter,Midwest,5,4
No,Male,Bachelor,778260,46,55,No,B,Married,No,Professional,Low,Owner,West,1,12
No,Female,High school,90404,46,55,Yes,J,Single,Yes,Sales/Service,Low,Owner,South,4,5
No,Female,Near high school,381500,56,65,Yes,D,Married,No,Retired,Medium,Owner,West,1,6
Yes,Male,Graduated,371820,36,45,No,B,Married,Yes,Professional,Low,Owner,South,1,7
No,Female,Bachelor,129870,1,100,Yes,C,Single,No,Sales/Service,Low,Owner,Midwest,2,6
No,Male,High school,0,46,55,Yes,A,Single,No,Blue Collar,Low,Renter,Midwest,3,2
No,Male,Some College,121398,1,100,No,F,Married,No,Sales/Service,Low,Renter,South,8,5
No,Female,Some College,134288,56,65,No,B,Single,No,Sales/Service,Low,Owner,South,3,5
Yes,Female,Some College,274680,36,45,Yes,B,Married,Yes,Professional,High,Owner,South,1,2
No,Male,Some College,285353,46,55,No,I,Single,No,Professional,Low,Owner,West,1,5
No,Female,Unknown,582365,1,25,No,B,Single,No,Professional,Low,Owner,Northeast,1,11
